timestamp,src_ip,dst_ip,frame_len,latency,jitter,ipdv,packet_loss
1770724268.781215693,1.1.2.1,1.1.10.10,153,0.012713,0.012694,0.012694,0
1770724268.809690333,1.1.10.10,1.1.2.1,72,0.028475,0.015762,0.015762,0
1770724268.849916838,1.1.2.1,1.1.10.10,66,0.040227,0.011752,0.011752,0
1770724269.358722868,1.1.10.10,1.1.1.1,72,0.028656,0.011570,-0.011570,0
1770724269.358939854,1.1.1.1,1.1.10.10,66,0.000217,0.028439,-0.028439,0
1770724269.821614403,1.1.10.10,1.1.2.1,72,0.039195,0.038978,0.038978,0
1770724269.821883071,1.1.2.1,1.1.10.10,66,0.000269,0.038926,-0.038926,0
1770724270.369927461,1.1.10.10,1.1.1.1,66,0.040246,0.039977,0.039977,0
1770724270.375064454,1.1.1.1,1.1.10.10,66,0.000069,0.040177,-0.040177,0
1770724270.822887054,1.1.10.10,1.1.2.1,66,0.040361,0.040291,0.040291,0
1770724270.825434588,1.1.2.1,1.1.10.10,66,0.000037,0.040324,-0.040324,0
1770724271.331371838,1.1.10.10,1.1.1.1,66,0.000092,0.000055,0.000055,0
1770724271.374654282,1.1.1.1,1.1.10.10,66,0.000081,0.000011,-0.000011,0
1770724271.783191738,1.1.10.10,1.1.2.1,66,0.000095,0.000014,0.000014,0
1770724271.827145519,1.1.2.1,1.1.10.10,66,0.000047,0.000049,-0.000049,0
1770724272.332265682,1.1.10.10,1.1.1.1,66,0.000046,0.000000,-0.000000,0
1770724272.376799641,1.1.1.1,1.1.10.10,66,0.000053,0.000007,0.000007,0
1770724272.783938900,1.1.10.10,1.1.2.1,66,0.000045,0.000008,-0.000008,0
1770724272.820117670,1.1.2.1,1.1.10.10,66,0.000049,0.000004,0.000004,0
1770724273.332221225,1.1.10.10,1.1.1.1,66,0.000058,0.000008,0.000008,0
1770724273.375715438,1.1.1.1,1.1.10.10,66,0.000070,0.000013,0.000013,0
1770724273.821082579,1.1.10.10,1.1.2.1,72,0.038097,0.038026,0.038026,0
1770724273.821146662,1.1.2.1,1.1.10.10,66,0.000064,0.038032,-0.038032,0
1770724274.332922005,1.1.10.10,1.1.1.1,66,0.000063,0.000001,-0.000001,0
1770724274.376595018,1.1.1.1,1.1.10.10,66,0.000055,0.000009,-0.000009,0
1770724274.821941410,1.1.10.10,1.1.2.1,72,0.037910,0.037856,0.037856,0
1770724274.822016680,1.1.2.1,1.1.10.10,66,0.000075,0.037835,-0.037835,0
1770724275.332487038,1.1.10.10,1.1.1.1,66,0.000073,0.000002,-0.000002,0
1770724275.369035974,1.1.1.1,1.1.10.10,66,0.000056,0.000017,-0.000017,0
1770724275.818910208,1.1.10.10,1.1.2.1,72,0.035109,0.035054,0.035054,0
1770724275.818966772,1.1.2.1,1.1.10.10,66,0.000057,0.035053,-0.035053,0
1770724276.370524766,1.1.10.10,1.1.1.1,72,0.036499,0.036442,0.036442,0
1770724276.370573366,1.1.1.1,1.1.10.10,66,0.000049,0.036450,-0.036450,0
1770724276.825853464,1.1.10.10,1.1.2.1,66,0.041839,0.041791,0.041791,0
1770724276.827857680,1.1.2.1,1.1.10.10,66,0.000030,0.041809,-0.041809,0
1770724277.373884706,1.1.10.10,1.1.1.1,66,0.040227,0.040197,0.040197,0
1770724277.375269730,1.1.1.1,1.1.10.10,66,0.000046,0.040182,-0.040182,0
1770724277.785043981,1.1.10.10,1.1.2.1,66,0.000047,0.000001,0.000001,0
1770724277.823854771,1.1.2.1,1.1.10.10,66,0.000071,0.000024,0.000024,0
1770724278.333889393,1.1.10.10,1.1.1.1,66,0.000094,0.000023,0.000023,0
1770724278.375208537,1.1.1.1,1.1.10.10,66,0.000051,0.000043,-0.000043,0
1770724278.821684607,1.1.10.10,1.1.2.1,72,0.036664,0.036613,0.036613,0
1770724278.821735556,1.1.2.1,1.1.10.10,66,0.000051,0.036613,-0.036613,0
1770724279.334000299,1.1.10.10,1.1.1.1,66,0.000038,0.000013,-0.000013,0
1770724279.360263792,1.1.1.1,1.1.10.10,66,0.000049,0.000012,0.000012,0
1770724279.822179490,1.1.10.10,1.1.2.1,72,0.036794,0.036745,0.036745,0
1770724279.822227295,1.1.2.1,1.1.10.10,66,0.000048,0.036746,-0.036746,0
1770724280.374933187,1.1.10.10,1.1.1.1,66,0.040420,0.040372,0.040372,0
1770724280.396399494,1.1.1.1,1.1.10.10,66,0.000056,0.040364,-0.040364,0
1770724280.823654618,1.1.10.10,1.1.2.1,72,0.038464,0.038408,0.038408,0
1770724280.823733923,1.1.2.1,1.1.10.10,66,0.000079,0.038385,-0.038385,0
1770724281.334395914,1.1.10.10,1.1.1.1,66,0.000070,0.000009,-0.000009,0
1770724281.371960113,1.1.1.1,1.1.10.10,66,0.000049,0.000021,-0.000021,0
1770724281.826879823,1.1.10.10,1.1.2.1,66,0.041202,0.041153,0.041153,0
1770724281.827598795,1.1.2.1,1.1.10.10,66,0.000029,0.041173,-0.041173,0
1770726008.991687105,1.1.10.10,1.1.2.1,66,0.000180,0.000000,0.000000,0
1770726009.040384919,1.1.2.1,1.1.10.10,66,0.000062,0.000118,-0.000118,0
1770726009.589850873,1.1.10.10,1.1.1.1,66,0.000053,0.000009,-0.000009,0
1770726009.648328375,1.1.1.1,1.1.10.10,66,0.000089,0.000036,0.000036,0
1770726009.992685556,1.1.10.10,1.1.2.1,66,0.000045,0.000044,-0.000044,0
1770726010.043062169,1.1.2.1,1.1.10.10,66,0.000067,0.000022,0.000022,0
1770726010.590142055,1.1.10.10,1.1.1.1,66,0.000055,0.000012,-0.000012,0
1770726010.646249683,1.1.1.1,1.1.10.10,66,0.000064,0.000009,0.000009,0
1770726010.993684265,1.1.10.10,1.1.2.1,66,0.000041,0.000023,-0.000023,0
1770726011.056091527,1.1.2.1,1.1.10.10,66,0.000049,0.000009,0.000009,0
1770726011.591100839,1.1.10.10,1.1.1.1,66,0.000049,0.000000,-0.000000,0
1770726011.643218813,1.1.1.1,1.1.10.10,66,0.000067,0.000018,0.000018,0
1770726011.993532973,1.1.10.10,1.1.2.1,66,0.000039,0.000028,-0.000028,0
1770726012.057803090,1.1.2.1,1.1.10.10,66,0.000089,0.000049,0.000049,0
1770726012.591291745,1.1.10.10,1.1.1.1,66,0.000042,0.000046,-0.000046,0
1770726012.639841308,1.1.1.1,1.1.10.10,66,0.000107,0.000064,0.000064,0
1770726012.992753851,1.1.10.10,1.1.2.1,66,0.000083,0.000023,-0.000023,0
1770726013.052814477,1.1.2.1,1.1.10.10,66,0.000133,0.000050,0.000050,0
1770726013.591270578,1.1.10.10,1.1.1.1,66,0.000134,0.000001,0.000001,0
1770726013.638601008,1.1.1.1,1.1.10.10,66,0.000098,0.000036,-0.000036,0
1770726013.993119286,1.1.10.10,1.1.2.1,66,0.000070,0.000028,-0.000028,0
1770726014.035683404,1.1.2.1,1.1.10.10,66,0.000111,0.000041,0.000041,0
1770726014.591462774,1.1.10.10,1.1.1.1,66,0.000063,0.000048,-0.000048,0
1770726014.652532763,1.1.1.1,1.1.10.10,66,0.000063,0.000000,-0.000000,0
1770726014.993840594,1.1.10.10,1.1.2.1,66,0.000068,0.000005,0.000005,0
1770726015.056475388,1.1.2.1,1.1.10.10,66,0.000151,0.000083,0.000083,0
1770726015.592720753,1.1.10.10,1.1.1.1,66,0.000099,0.000053,-0.000053,0
1770726015.636440129,1.1.1.1,1.1.10.10,66,0.000081,0.000017,-0.000017,0
1770726015.993964282,1.1.10.10,1.1.2.1,66,0.000063,0.000018,-0.000018,0
1770726016.045725541,1.1.2.1,1.1.10.10,66,0.000090,0.000027,0.000027,0
1770726016.592502677,1.1.10.10,1.1.1.1,66,0.000081,0.000009,-0.000009,0
1770726016.639472329,1.1.1.1,1.1.10.10,66,0.000087,0.000006,0.000006,0
1770726016.995231190,1.1.10.10,1.1.2.1,66,0.000172,0.000085,0.000085,0
1770726017.060788727,1.1.2.1,1.1.10.10,66,0.000049,0.000123,-0.000123,0
1770726017.592881997,1.1.10.10,1.1.1.1,66,0.000084,0.000035,0.000035,0
1770726017.657794590,1.1.1.1,1.1.10.10,66,0.000058,0.000026,-0.000026,0
1770726017.995285760,1.1.10.10,1.1.2.1,66,0.000045,0.000013,-0.000013,0
1770726018.043294240,1.1.2.1,1.1.10.10,66,0.000060,0.000015,0.000015,0
1770726018.594464152,1.1.10.10,1.1.1.1,66,0.000072,0.000012,0.000012,0
1770726018.655953761,1.1.1.1,1.1.10.10,66,0.000083,0.000011,0.000011,0
1770726018.997046390,1.1.10.10,1.1.2.1,66,0.000083,0.000000,-0.000000,0
1770726019.047910297,1.1.2.1,1.1.10.10,66,0.000189,0.000106,0.000106,0
1770726019.595043708,1.1.10.10,1.1.1.1,66,0.000074,0.000114,-0.000114,0
1770726019.640422834,1.1.1.1,1.1.10.10,66,0.000089,0.000015,0.000015,0
1770726019.996025463,1.1.10.10,1.1.2.1,66,0.000050,0.000039,-0.000039,0
1770726020.046767899,1.1.2.1,1.1.10.10,66,0.000049,0.000001,-0.000001,0
1770726020.595547723,1.1.10.10,1.1.1.1,66,0.000101,0.000052,0.000052,0
1770726020.645072810,1.1.1.1,1.1.10.10,66,0.000068,0.000033,-0.000033,0
1770726020.996996726,1.1.10.10,1.1.2.1,66,0.000085,0.000017,0.000017,0
1770726021.061494529,1.1.2.1,1.1.10.10,66,0.000219,0.000134,0.000134,0
1770726021.594933008,1.1.10.10,1.1.1.1,66,0.000075,0.000145,-0.000145,0
1770726021.654027551,1.1.1.1,1.1.10.10,66,0.000209,0.000135,0.000135,0
1770726021.997102646,1.1.10.10,1.1.2.1,66,0.000090,0.000119,-0.000119,0
1770726022.044240193,1.1.2.1,1.1.10.10,66,0.000099,0.000009,0.000009,0
1770726022.595329917,1.1.10.10,1.1.1.1,66,0.000044,0.000055,-0.000055,0
1770726022.647282860,1.1.1.1,1.1.10.10,66,0.000093,0.000049,0.000049,0
1770726022.998099056,1.1.10.10,1.1.2.1,66,0.000222,0.000129,0.000129,0
1770726023.055593517,1.1.2.1,1.1.10.10,66,0.000062,0.000160,-0.000160,0
1770726023.596434224,1.1.10.10,1.1.1.1,66,0.000058,0.000003,-0.000003,0
1770726023.653589160,1.1.1.1,1.1.10.10,66,0.000063,0.000005,0.000005,0
1770726023.998290272,1.1.10.10,1.1.2.1,66,0.000039,0.000024,-0.000024,0
1770726024.045103981,1.1.2.1,1.1.10.10,66,0.000062,0.000023,0.000023,0
1770726024.596667320,1.1.10.10,1.1.1.1,66,0.000094,0.000032,0.000032,0
1770726024.653465267,1.1.1.1,1.1.10.10,66,0.000053,0.000040,-0.000040,0
